name,description
Maria Carmen Fresh,"



		Product details
		



Herbal Essences Bio:Renew Sulphate Free Shampoo With Potent Aloe + Mango

Mother Nature has its secrets and one of them is Aloe with its gentle hydration properties.
Herbal Essences has partnered with the Royal Botanic Gardens, Kew, and with their 260 years of botanical experience they helped Herbal Essences to identify its most potent Aloe, so that the brand could bottle it for you.
Herbal Essences Sulfate Free Shampoo with Potent Aloe + Mango for beautifully hydrated hair, as intended by nature.

- Shampoo with potent aloe + mango that helps protect your colour and enhance hair shine
- 93% natural origin (purified water and natural-source ingredient materials with limited processing)
- Partnered with Royal Botanic Gardens, Kew, a world leading authority on plants
- Sulphate free shampoo
- pH balanced and colour safe




Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.


Important info
Country of Origin: France


Ingredients
Aqua, Lauramidopropyl Betaine, Sodium Cocoyl Isethionate, Sodium Lauroyl Sarcosinate, Sodium Citrate, Citric Acid, Parfum, Sodium Benzoate, Sodium Salicylate, Polyquaternium-10, Tetrasodium EDTA, Limonene, Propylene Glycol, Hexyl Cinnamal, Linalool, Aloe Barbadensis Leaf Juice, Butylene Glycol, Histidine, Rubus Fruticosus Fruit Extract, Persea Gratissima Fruit Extract, Mangifera Indica Fruit Extract, Alcohol Denatured, Ecklonia Radiata Extract



...read more
...read less

"
Maria Carmen Light,"



		Product details
		



At Aveeno, we understand that a healthy scalp is the foundation for beautiful hair.
Made with colloidal oats, known for their skin moisturising properties, and botanical ingredients, Aveeno Colour Protect+ Blackberry & Quinoa Shampoo gently cleanses hair and prevents breakage and colour fade over time while soothing the scalp. Hair colour is left protected and vibrant wash after wash. 
Created with both hair and scalp in mind, Aveeno haircare is clinically proven to help relieve itchy, dry scalps and reduce flakes without stripping hair of its natural oils, leaving it looking and feeling soft, shiny and healthy.
 
• For coloured hair
• Gentle enough for daily use
• Clinically proven to relieve itchy scalp
• pH balanced formula
• Suitable for sensitive skin
• Sulfate-free surfactants 

For best results, use with Aveeno Blackberry & Quinoa Blend Conditioner.

Our effort for the planet:
Bottle made from 50% recycled plastic. Recyclable bottle & cap (check local sorting instructions). 




How to use
Apply shampoo generously to wet hair, massage into a lather through to ends, then rinse hair thoroughly. After shampooing, follow with Aveeno Colour Protect+ Blackberry & Quinoa Blend Conditioner for best results.



Hazards and Cautions
Warning: Use only as directed. Avoid contact with eyes. If contact occurs, rinse immediately. Keep away from children. For best results, use in conjunction with other Aveeno hair products.



Important info
Use only as directed. Avoid contact with eyes. If contact occurs rinse immediately. Keep away from children. For best results use in conjunction with other Aveeno hair products.
300ml
Bottle made from 50% recycled plastic. 
Recyclable bottle & cap (check local sorting instructions). 
Suitable for Vegetarians/vegans 



Ingredients
Colloidal Oatmeal Extract, Aqua/Water/Eau, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Chloride, Rubus Villosus (Blackberry/Mûre) Fruit Extract, Hydrolyzed Quinoa, PEG-7 Amodimethicone, Polyquaternium-22, Polyquaternium-39, PEG-150 Pentaerythrityl Tetrastearate, PPG-2 Hydroxyethyl Cocamide, Laureth-4, Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, Linoleamidopropyl PG-Dimonium Chloride Phosphate, Propylene Glycol, Glycerin, Hexylene Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Citric Acid, Sodium Citrate, Sodium Hydroxide, Sodium Benzoate, Formic Acid, Phenoxyethanol, Benzyl Alcohol, Potassium Sorbate, Tocopheryl Acetate, Disodium Tetrapropenyl Succinate, Coconut Acid, Parfum/Fragrance, Limonene.




...read more
...read less

"
Maria Carmen Moisturise,"



		Product details
		



Head & Shoulders Anti Dandruff Shampoo, Repaır Argan Oil 400mlKey FeaturesAnti dandruff shampoo with argan oilDeeply nourished from roots to tipsFights damage from first washHead & Shoulders is the worlds number 1 anti dandruff shampoo for itchy scalp, stop dandruff before it shows




How to use
Your daily treat. Shake before use. Gently massage into your scalp and work through to the tips of your hair. Rinse and repeat if desired. Designed to work together with the Supreme conditioner.


Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.


Important info
Country of origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Dimethiconol, Sodium Chloride, Piroctone Olamine, Parfum, Dimethicone, Citric Acid, Sodium Citrate, TEA-Dodecylbenzenesulfonate, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Trideceth-10, Hexyl Cinnamal, Sodium Xylenesulfonate, Tetrasodium EDTA, Sodium Hydroxide, Linalool, Hydroxycitronellal, Magnesium Nitrate, Argania Spinosa Kernel Oil, Persea Gratissima Oil, Propylene Glycol, Triethylene Glycol, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone




...read more
...read less

"
Maria Carmen Moisturising,"



		Product details
		



Uplift your Hair and your Spirit!Aussie Shampoo Aussome Volume lightweight formula, with extract of Australian Hops, leaves your fine hair with body and fullness from roots to tips. Australian Hops are a great discovery. It’s believed that the proteins they contain coat your hair and help build it up.The Aussie Philosophy - ""There's more to life than hair, but it's a good place to start""




Important info
Features and BenefitsShampoo for fine, limp hair.With Australian Hops extract.Leaves your fine hair with wonderful fullness and bodymakes it bounce with happiness!



...read more
...read less

"
Maria Carmen Nourish,"



		Product details
		



Pantene Pro-V Smooth & Sleek 3in1 shampoo, conditioner and treatment, cleans, detangles and treats in 1 step. Gives hair active Pro-V Nutrients. Provides silky smoothness & frizz control for hair prone to frizz or dryness.
 
 

3in1 shampoo, conditioner and treatment for frizzy or dull hair
Fuels hair’s strength with active Pro-V nutrients shampoo, conditioner and treatment
Provides silky smoothness & frizz control
Leaves your hair beautifully silky smooth & perfectly moisturised
0% mineral oils, 0% colourants
Tested by the Swiss Vitamin Institute
100% recyclable bottle, made with 25% recycled plastic (excluding the cap)
Helps lock out humidity and leave your hair manageable





Important info
Country of origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Citrate, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Stearyl Alcohol, Sodium Chloride, Cetyl Alcohol, Parfum, Sodium Benzoate, Citric Acid, Sodium Salicylate, Polyquaternium-6, Guar Hydroxypropyltrimonium Chloride, Dimethiconol, Sodium Hydroxide, Trihydroxystearin, Dimethicone, Tetrasodium EDTA, TEA-Dodecylbenzenesulfonate, Panthenol, Panthenyl Ethyl Ether, Trideceth-10, Histidine, Hexyl Cinnamal, Benzyl Alcohol, Triethylene Glycol, Propylene Glycol




...read more
...read less

"
Maria Carmen Nourishing,"



		Product details
		



Garnier Ultimate Blends Argan Richness haircare range is our ultimate range for  for very dry unruly hair.
 
When badly behaved hair has a mind of its own, take control with nature's help. Enriched with precious Moroccan Argan Oil & rich Almond Cream our Aragn Richness  haircare range leaves hair feeling deeply nourished with incredibly shine and softness. Unruly dry hair is tamed, easier to manage and feels beautifully soft and smooth from root to tip. Discover the naturally derived ingredients of our Argan Richness hair care range: Argan Oil, an elixir prized by Moroccan women since the dawn of time, and Almond Cream are blended with love in a creamy, silicone-free for a natural feel, formula to leave hair soft to the tips, easier to manage and shining like the Moroccan sun. The creamy lightweight formula envelops the hair without weighing it down and surrounds you in a delicious fragrance for a genuine moment of indulgence. Vegan formula: No animal ingredients or by products and 100% recycled plastic bottles*




Suitable for
Hair



How to use
Massage into wet hair. Lather, rinse & follow with our complementary conditioner for intense care.



Ingredients
AQUA / WATER, SODIUM LAURETH SULFATE, GLYCOL DISTEARATE, SODIUM CHLORIDE, COCAMIDOPROPYL BETAINE, DIMETHICONE, PARFUM / FRAGRANCE, ARGANIA SPINOSA KERNEL OIL, PRUNUS AMYGDALUS DULCIS OIL /SWEET ALMOND OIL, COCAMIDE MEA, STEARETH-6, FUMARIC ACID, CARBOMER, TRIDECETH-10, TRIDECETH-3, AMODIMETHICONE,PEG-100 STEARATE,SODIUM HYDROXIDE, COCO-BETAINE, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, CITRIC ACID, ACETIC ACID, HEXYLENE GLYCOL, SODIUM BENZOATE, SALICYLICACID, PHENOXYETHANOL, CI 15985 / YELLOW 6, CI 19140 / YELLOW 5, LINALOOL, COUMARIN, LIMONENE, BENZYL ALCOHOL, BENZYL SALICYLATE. (F.I.L Z290858/1).




...read more
...read less

"
Maria Carmen Pomegranate & Lime,"



		Product details
		



Our multi-award winning Flaky/Itchy Scalp Anti-Dandruff Shampoo is based on the clarifying shampoo formula that our Trichologists originally created for Oscar-winning actor Sir Laurence Olivier. Flaky/Itchy Scalp Shampoo is one of our most popular products, and our best shampoo for dandruff. Extremely soothing, with a fresh apple fragrance, it relieves scalp irritation while clearing flakiness and build-up. It is mild enough for daily use, and and will leave your hair shiny and manageable.How to use:Use daily until scalp is clear, and thereafter at regular intervals as required. Apply to wet hair and lather, gently kneading the scalp for 60 seconds. Rinse well and repeat if necessary. Follow with the appropriate Philip Kingsley Conditioner and Flaky/Itchy Scalp Toner.Hazardous & Cautions:For external use onlyIngredients:Aqua/Water/Eau, TEA-Lauryl Sulfate, Cocamide DEA, Lauryl Betaine, Sodium Chloride, Glycerin, Parfum (Fragrance), Citric Acid, Triethylene Glycol, Propylene Glycol, Piroctone Olamine, Sodium Benzoate, Potassium Sorbate, Benzyl Alcohol, Methylchloroisothiazolinone, Methylisothiazolinone, Magnesium Chloride, Magnesium Nitrate.




"
Maria Carmen Protect,"



		Product details
		



Pantene Pro-V 3in1 shampoo, conditioner and treatment cleans, detangles and treats in 1 step. Gives hair active Pro-V Nutrients leaving it beautifully healthy looking.
 
 

3in1 shampoo, conditioner and treatment for all hair types
Fuels hair’s strength with active Pro-V nutrients shampoo, conditioner and treatment
Gently cleanses, while fueling hair with active Pro-V Nutrients
Leaves your hair beautifully, healthy looking and free-flowing
0% mineral oils, 0% colourants
Tested by the Swiss Vitamin Institute
100% recyclable bottle, made with 25% recycled plastic (excluding the cap)
Provides balanced nourishment for normal to mixed hair. Brings out healthy-looking shine





Important info
Country of origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Citrate, Sodium Xylenesulfonate, Sodium Lauryl Sulfate, Glycol Distearate, Cocamidopropyl Betaine, Sodium Chloride, Dimethicone, Cocamide MEA, Parfum, Sodium Benzoate, Stearyl Alcohol, Citric Acid, Sodium Salicylate, Cetyl Alcohol, Glycerin, Guar Hydroxypropyltrimonium Chloride, Polyquaternium-6, Sodium Hydroxide, Tetrasodium EDTA, Panthenol, Panthenyl Ethyl Ether, Histidine, Hexyl Cinnamal




...read more
...read less

"
Maria Carmen Sensitive,"



		Product details
		



Garnier Ultimate Blends Kids Shampoo for delicate hair.
Our 2in1 Kids Shampoo gently cleanses and detangles. Your children’s hair looks super-soft, shiny & tangle-free! Tested under paediatric & ophthalmologist control. Our hypoallergenic formula doesn’t sting the eyes and will gently remove knots and tangles, caring for the delicate nature of your children’s hair.




Suitable for
Hair



How to use
Experience our ultimate bath time: wet hair, squeeze a burst into your palm. Lather up, rinse clean and enjoy the fun! Not to be used for children under 3 years of age.



Ingredients
AQUA / WATER • SODIUM LAURETH SULFATE • PEG-200 HYDROGENATED GLYCERYL PALMATE • GLYCERIN • COCO-BETAINE • SODIUM CHLORIDE • PRUNUS CERASUS FRUIT EXTRACT / BITTER CHERRY FRUIT EXTRACT • PEG-7 GLYCERYL COCOATE • SODIUM ACETATE • SODIUM HYDROXIDE • PRUNUS AMYGDALUS DULCIS OIL / SWEET ALMOND OIL • ISOPROPYL ALCOHOL • CITRIC ACID • POLYQUATERNIUM-10 • POLYSORBATE 20 • HEXYLENE GLYCOL • POTASSIUM SORBATE • SODIUM BENZOATE • SALICYLIC ACID • PARFUM / FRAGRANCE
Value2: AQUA / WATER • SODIUM LAURETH SULFATE • PEG-200 HYDROGENATED GLYCERYL PALMATE • GLYCERIN • COCO-BETAINE • SODIUM CHLORIDE • PRUNUS CERASUS FRUIT EXTRACT / BITTER CHERRY FRUIT EXTRACT • PEG-7 GLYCERYL COCOATE • SODIUM ACETATE • SODIUM HYDROXIDE • PRUNUS AMYGDALUS DULCIS OIL / SWEET ALMOND OIL • ISOPROPYL ALCOHOL • CITRIC ACID • POLYQUATERNIUM-10 • POLYSORBATE 20 • HEXYLENE GLYCOL • POTASSIUM SORBATE • SODIUM BENZOATE • SALICYLIC ACID • PARFUM / FRAGRANCE
Value3: AQUA • SODIUM LAURETH SULFATE • PEG-200 HYDROGENATED GLYCERYL PALMATE • GLYCERIN • COCO-BETAINE • SODIUM CHLORIDE • PRUNUS CERASUS FRUIT EXTRACT • PEG-7 GLYCERYL COCOATE • SODIUM ACETATE • SODIUM HYDROXIDE • PRUNUS AMYGDALUS DULCIS OIL • ISOPROPYL ALCOHOL • CITRIC ACID • POLYQUATERNIUM-10 • POLYSORBATE 20 • HEXYLENE GLYCOL • POTASSIUM SORBATE • SODIUM BENZOATE • SALICYLIC ACID • PARFUM




...read more
...read less

"
Maria Carmen Sport,"



		Product details
		



Bumble and bumble Hairdresser's Invisible Oil Shampoo 1000ml
 
WHAT IT IS: This multi-tasking, moisturising shampoo instantly transforms dry, coarse or brittle hair – leaving it soft, silky, and smooth. A blend of six featherlight oils helps soften, silken, tame, de-frizz, detangle, and protect against breakage – without weighing hair down.
 
FORMULATED FOR:

Density: Medium to thick
Texture: Straight to curly
Type: Dry, damaged, and/or colour-treated

 
HOW TO USE: Work a dab into wet hair, lather and rinse. Follow with Hairdresser’s Invisible Oil Conditioner.




Ingredients
Water\Aqua\Eau, Disodium Laureth Sulfosuccinate, Sodium Cocoyl Isethionate, Sodium Lauryl Sulfoacetate, Glycerin, Sodium Lauroyl Sarcosinate, Coco-Betaine, Acrylates Copolymer, Decyl Glucoside, Butylene Glycol, Laureth-23, Glycol Distearate, Glycereth-26, Vitis Vinifera (Grape) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Macadamia Integrifolia Seed Oil, Cocos Nucifera (Coconut) Oil, Gardenia Taitensis Flower Extract, Argania Spinosa Kernel Oil, Carthamus Tinctorius (Safflower) Seed Oil, Sodium Hyaluronate, Hydroxypropyltrimonium Hydrolyzed Corn Starch, Phenyl Trimethicone, Panthenyl Ethyl Ether, Magnesium Nitrate, Sodium Pca, Pantethine, Polyquaternium-7, Polyquaternium-10, Sodium Acetate, Isopropyl Alcohol, Potassium Hydroxide, Laureth-3, Trisodium Sulfosuccinate, Glycol Stearate, Sodium Chloride, Sodium Sulfate, Fragrance (Parfum), Linalool, Hexyl Cinnamal, Tetrasodium Edta, Sodium Citrate, Phenoxyethanol, Methylchloroisothiazolinone, Methylisothiazolinone, Sodium Benzoate 



...read more
...read less

"
Maria Carmen Strawberry,"



		Product details
		



Bleaching, chemical styling, colour treatments and rigorous heat styling are all extremely harsh on hair, severely damaging it both inside and out over time.
 
Take the first step to heal the visible signs of severe hair damage with silicone-free Nexxus KERAPHIX Shampoo.
 
At Nexxus, we understand that different hair types have different needs. Hair is made up of around 90% proteins, which is why we use advanced scientific methods to identify the protein needs of each hair type. We create customised formulas with proteins to bring your hair back to life.
 
KERAPHIX Shampoo features our exclusive PROTEINFUSION blend, incorporating hair-strengthening keratin protein and black rice rich in glutamic acid, which is the key amino acid that hair protein loses when it's severely damaged.
 
Its unique formulation cleanses severely damaged hair and primes it for deeper treatment. Thanks to using precise proteins and ingredients from nature, this salon-crafted shampoo for damaged hair provides exactly what's required in order for hair to look and feel its best. It's more than a science. It's an art.
 
Key features

With our exclusive PROTEINFUSION blend, Nexxus KERAPHIX Shampoo cleanses severely damaged hair and primes it for deeper treatment
This salon-quality shampoo gently cleanses and penetrates the hair fibre of damaged hair, starting the hair repair process
Hair shampoo infused with an exclusive blend of strengthening keratin protein and black rice (a rich source of glutamic acid)
Silicone-free keratin shampoo prepares hair for deep conditioning
Use this shampoo for damaged hair as part of a healing ritual that is clinically proven to deliver healthier-looking hair in one use
Continued use with Nexxus KERAPHIX Conditioner enables restorative agents to increase the resilience of hair’s cortex





How to use
Apply to wet hair. Lather. Rinse. Avoid contact with eyes. In case of contact with eyes, rinse thoroughly with water. Follow with Nexxus KERAPHIX Conditioner to increase hair's resilience and leave you with silky, luminous hair.



Ingredients
Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Collagen Amino Acids, Glycol Distearate, Hydrolyzed Elastin, Polyquaternium-10, PEG-6 Caprylic/Capric Glycerides, Sodium Benzoate, Parfum, Gluconolactone, Citric Acid, Hydrolyzed Keratin, Trehalose, Sodium Sulfate, Phenoxyethanol, Potassium Sorbate, Disodium EDTA, PEG-150 Pentaerythrityl Tetrastearate, Ethylhexylglycerin, PPG-2 Hydroxyethyl Cocamide, Glycerin, Sodium Chloride, Sodium Acetate, Oryza Sativa Extract, PEG-150 Distearate, Sodium Hydroxide, Coumarin, Citronellol, Hexyl Cinnamal.




...read more
...read less

"
Maria Carmen Volumise,"



		Product details
		



This revolutionary new solid formulation was picked to condition, cleanse and moisturise your hair whilst creating a great lather without the need for SLS.
With added Pink Clay to cleanse and moisturise, fragranced with a blend of pure Orange & Ginger essential oils to stimulate your scalp and help promote healthy hair.
We wanted it to be as straight forward as possible and for you to make the switch straight from liquid without the faff of a transition period that other shampoo bars need and without the need of rinsing with vinegar and other such things! Plus, our ingredients are also Curly Girl Method friendly! You can check them out at curlsbot.com.
Lovingly created by Little Soap Company.
Ideal for use in the bathroom eliminating the need for unnecessary plastics. Also great for gym bags and travelling… can go in your hand luggage with no leaks!
Proud to be a certified B Corporation, we ensure we're doing our best for the planet, our people and you.
Cruelty Free · Vegan · Made in Britain · Recyclable · RSPO Certified Sustainable Palm Oil




Suitable for
Suitable for all ages


How to use
Wet hair and rub wet soap into hair from scalp to ends. Massage into lather and rinse well with warm water.


Hazards and Cautions
For external use only. Avoid contact with the eyes. If product enters the eyes rinse well with warm water.


Important info
Suitable for Vegans

Country of Origin: Britain

Address: Little Soap Company, Upper High Street, Broadway, Worcestershire, WR12 7AL


Ingredients
Sodium Cocoyl Isethionate* (derived from sustainable Palm Oil), Hydrogenated Vegetable Oil, Aqua (water), Polyglyceryl-4 Laurate* (derived from sustainable Palm Oil), Parfum (a blend made from pure essential oils including orange and ginger), Glycerin* (derived from sustainable Palm Oil), Limonene**, Illite (clay mineral), Kaolin (white clay), Citral**, Tetrasodium Glutamate Diacetate (naturally derived preservative to aid stability)

*made from 100% RSPO certified sustainable Palm Oil and Palm Kernel Oil

**allergen – naturally occurring within the essential oils



...read more
...read less

"
Maria Carmen Zesty,"



		Product details
		



Blow-drying, heat-styling and repeated washing can cause coloured hair to fade and lose its vibrancy. You can now enjoy your vibrant hair colour for longer with Tresemme Revitalise Colour Shampoo. Formulated with hibiscus essence and a UV filter, this professional-quality shampoo is designed to infuse your hair with moisture and provide it with up to 12 weeks of colour vibrancy*. Its gentle cleansing formula uses our PRO Style Technology with amino acids and ceramide to leave your hair strong and manageable with continuous use. To give your hair a nourished and healthy-looking shine, start your routine by applying a generous amount of Tresemme Revitalise Colour Shampoo to wet hair. Gently massage the scalp with your fingertips to work into a lather, then rinse thoroughly. Follow with Revitalise Colour Conditioner, and style with your favourite Tresemme styling products as needed. At Tresemme, we’ve always understood that style is more than a look: it’s a part of you.
 
With our professional-quality care, a world of style possibilities is yours to achieve. Every choice we make at Tresemme, from the values we promote – such as not testing on animals and being PETA approved – to the stylists we work with, right down to the carefully selected ingredients we use, are made with intention and inspired by the latest trends and style. Because 70 years on, we believe in the power of style. So tell your story, land that job, make your mark – and achieve your aspirations with confidence. With Tresemme, your style can match your ambition. *Using Tresemme Revitalise Colour Shampoo and Conditioner vs. a non-conditioning shampoo
 
Key features:
• Tresemme Revitalise Colour Shampoo gently cleanses and replenishes moisture to colour-treated hair while maintaining its shine
• Formulated with hibiscus essence and a UV filter, Tresemme Revitalise Colour Shampoo and Conditioner system for coloured hair helps keep hair looking vibrant for up to 12 weeks*
• This professional-quality shampoo features PRO Style Technology which works from the inside out to leave hair strong and manageable with continued use
• Our hair care experts are at the forefront of science and safety – every ingredient is carefully selected to ensure your hair receives the best possible care
• Apply Tresemme Revitalise Colour Shampoo from roots to ends, lather gently while massaging the scalp, and rinse thoroughly; follow with Revitalise Colour Conditioner to maximise results
• With Tresemme professional hair care products, you can create your personal style to achieve your aspirations with confidence




Ingredients
Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Glycerin, Dimethiconol, Parfum, Sodium Benzoate, Glycol Distearate, Citric Acid, Carbomer, Guar Hydroxypropyltrimonium Chloride, TEA-Dodecylbenzenesulfonate, TEA-Sulfate, Disodium EDTA, Cocamide MEA, PEG-45M, Phenoxyethanol, Lysine HCl, Arginine, Ethylhexyl Methoxycinnamate, Hibiscus Sabdariffa Flower Extract, Ceramide NG, PPG-6, Sodium Hydroxide, Hexyl Cinnamal, Limonene, Linalool.




...read more
...read less

"
Maria Carmen Zingy,"



		Product details
		



Aussie Calm The Frizz Hemp Shampoo 300ml


When your frizzy hair needs a ‘calm-me-down’, grab Aussie Calm the Frizz Shampoo, it transforms unruly hair to noticeably luscious locks with the star of the show Australian Hemp seed extract which makes this miraculous formula seriously addictive. Go on, try it, your hair will thank you.

Key Features

Frizzy hair needing a ‘calm-me-down’? Grab Aussie Calm the Frizz Shampoo
This Frizzy hair product turns unruly hair to noticeably luscious locks
With seriously addictive Australian Hemp seed extract formula
Say bye bye to frizz for good
A is for Aussie… for Australia… for Authentic Ingredients and Ausome Aussie Attitude







Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.



Important info
Country of origin: France



Ingredients
Aqua, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Citrate, Cocamide MEA, Sodium Xylenesulfonate, Parfum, Sodium Chloride, Citric Acid, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Glycerin, Tetrasodium EDTA, Limonene, Sodium Hydroxide, Magnesium Nitrate, Cannabis Sativa Seed Extract, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone




...read more
...read less

"
Mateo Matt,"



		Product details
		



Aussie Bonza Colour Shampoo 300ml 

Don’t let your colour fade. Try Aussie Colour Mate colour safe Shampoo for coloured hair. The Aussie Shampoo, with Australian wild peach, works to gently cleanse and protect coloured hair so it can stay as vibrant as you are.

Key Features



Dull just doesn't suit you, stay colourful with Aussie Colour mate Shampoo
The Shampoo for coloured hair gently cleanses and help protect hair dye
The coloured hair protecting formula, contains delectable juicy Australian Wild Peach extract
A is for Aussie… for Australia… for Authentic Ingredients and Ausome Aussie Attitude
Cruelty free, as certified by PETA
It was in Australia that our 3 Minute Miracle Deep Conditioning Hair Treatment was invented and we are proud of our Aussie roots







How to use
Wet hair and massage in. Rinse out. For optimal results use with Colour Mate Conditioner. We don't like to do things by halves!



Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.


Important info
Country of origin: France


Ingredients
Aqua, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Citrate, Cocamide MEA, Sodium Xylenesulfonate, Parfum, Citric Acid, Sodium Benzoate, Sodium Chloride, Glycerin, Tetrasodium EDTA, Guar Hydroxypropyltrimonium Chloride, Limonene, Linalool, Butylene Glycol, Magnesium Nitrate, Santalum Acuminatum Fruit Extract, Aloe Barbadensis Leaf Juice, Alcohol Denatured, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone, Ascorbic Acid, Sodium Sulfite, Potassium Sorbate



...read more
...read less

"
Mateo Out of Bed,"



		Product details
		



Garnier Ultimate Blends Coconut Oil & Cocoa Butter haircare range is our ultimate range for frizzy & curly hair. Each blend combines naturally derived well-known and trusted ingredients for naturally beautiful results. Derived from the tropical coconut, coconut oil is well-known for its nourishing properties, rich cocoa butter gathered from the far reaches of the Ivory Coast is renowned for taming frizzy hair and flyaways. Our heavenly scented range will leave hair smelling divine, with a super soft and sleek finish.  Our Coconut Oil & Cocoa Butter haircare range is vegan* and our bottles are made of 100% recycled plastic*. *Vegan formula: no animal ingredients or by products.




Suitable for
Hair



How to use
Massage into wet hair. Lather, rinse & follow with our complementary conditioner for intense care.



Ingredients
AQUA / WATER, SODIUM LAURETH SULFATE,
GLYCOL DISTEARATE, COCAMIDOPROPYL BETAINE, DIMETHICONE,
SODIUM CHLORIDE, ARGANIA SPINOSA KERNEL OIL, VACCINIUM
MACROCARPON (CRANBERRY) SEED OIL, COCAMIDE MEA,
STEARETH-6, FUMARIC ACID, CARBOMER, TRIDECETH-10,
TRIDECETH3, AMODIMETHICONE, PEG-100 STEARATE,
SODIUM HYDROXIDE, COCOBETAINE, GUAR
HYDROXYPROPYLTRIMONIUM CHLORIDE, CITRIC ACID,
ACETIC ACID, HEXYLENE GLYCOL, SODIUM BENZOATE,
SALICYLIC ACID, PHENOXYETHANOL, LINALOOL,
LIMONENE, CITRONELLOL, BENZYL ALCOHOL, BENZYL
SALICYLATE, PARFUM / FRAGRANCE. (F.I.L. Z298424/1).




...read more
...read less

"
Mateo Protect,"



		Product details
		



Pantene Colour Gloss Repairing Shampoo is a Biotin Shampoo designed for coloured hair that transforms strands from dull to glossy in just 1 use. Enriched with biotin, gloss mineral and Pro-V blends, it helps repair all layers of colour damage to bring your colour gloss back to life! It is suitable for damaged and coloured hair, including both permanent and temporary dyes. Use together with other Colour Gloss collection hair products for a complete hair care routine from the Pro-V Miracles line for healthier hair and restored lustre.




How to use
Massage into wet hair to create lather. Rinse. For best results, use with Pantene Colour Gloss collection.



Important info
Country of Origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Sodium Citrate, Sodium Xylenesulfonate, Sodium Lauryl Sulfate, Parfum, Cocamide MEA, Glycol Distearate, Stearyl Alcohol, Glycerin, Citric Acid, Cetyl Alcohol, Dimethiconol, Sodium Benzoate, Dimethicone, Guar Hydroxypropyltrimonium Chloride, Tetrasodium EDTA, Sodium Hydroxide, Linalool, TEA-Dodecylbenzenesulfonate, Polyquaternium-6, Trihydroxystearin, Hexyl Cinnamal, Trideceth-10, Panthenol, Panthenyl Ethyl Ether, Histidine, Hydroxycitronellal, Benzyl Benzoate, Propylene Glycol, Magnesium Nitrate, Rubus Idaeus Fruit Extract, Hydrolyzed Silk, Biotin, Methylchloroisothiazolinone, Magnesium Chloride, Benzyl Alcohol, Triethylene Glycol, Methylisothiazolinone




...read more
...read less

"
Mateo Re-Mould,"



		Product details
		



John Frieda Shimmering Silver Shampoo 250mlKey Features: Cleanses and enhances grey strands for youthful, radiant shineWith SilverGloss technology for dull grey or white hairTransform dull grey to bright silver. Our Shimmering Silver shampoo, formulated with SilverGloss technology, helps to neutralise brassiness and enhances shine to reveal clean, bright silver.




How to use
Gently massage into wet hair, lather, then rinse well. For optimal brightening and neutralising, follow with Shimmering Silver Conditioner.


Ingredients
Aqua, Sodium Laureth Sulfate, Erythritol, Cocamidopropyl Betaine, Coco-Glucoside, Glycerin, Parfum, Cocamide MEA, Lauric Acid, Polyquaternium-10, Benzyl Alcohol, Silicone Quaternium-18, Malic Acid, Disodium EDTA, PPG-9, Trideceth-6, Benzophenone-4, Ethylhexyl Methoxycinnamate, Trideceth-12, Glycine, Sodium Chloride, PEG-40 Hydrogenated Castor Oil, BHT, Morinda Citrifolia Fruit Extract, Sodium Benzoate, Salicylic Acid, Phenoxyethanol, Hexyl Cinnamal, Limonene, CI 16035, CI 42090, CI 60730.



...read more
...read less

"
